Student ID,First Name,Last Name,Gender,Age,Date of Birth,Grade Level,Socioeconomic Status (SES),Ethnicity,Primary Language Spoken at Home,Parents' Education Level,Special Needs,Residential Address,Parent/Guardian Contact Information,Transportation,Free/Reduced Lunch Status
S0019,Nalani,Ito,Female,12,2011-02-14,7th Grade,Middle-income,Japanese,Japanese,Bachelor's degree,No,"1234 Kilauea Ave, Hilo, HI 96720","808-555-1234 nito@hawaii.edu
This is a sample text to fill the Parent/Guardian Contact Information field.
I will provide more information about my child's special needs and dietary restrictions during the parent-teacher conference.
Please contact me at 808-555-1234 or nito@hawaii.edu if you need anything.",Car,No
S001,Akira,Ito,Female,12,2009-08-15,6th Grade,Middle-income,Japanese,Japanese,Bachelor's degree,Dyslexia,"123-456 Tokyo, Japan","Phone: 03-1234-5678, Email: [akira.itto@email.com](mailto:akira.itto@email.com)",Walk,No
S002,Kofi,Amponsah,Male,11,2011-02-20,5th Grade,Low-income,Ghanaian,Akan,High school diploma,No,"2345 Accra, Ghana","Phone: 00233-1234-5678, Email: [kofi.amponsah@email.com](mailto:kofi.amponsah@email.com)",Bus,Yes
S003,Luna,Garcia,Non-binary,14,2008-01-01,8th Grade,High-income,Mexican,Spanish,Master's degree,Autism Spectrum Disorder,"6789 Mexico City, Mexico","Phone: 52-1234-5678, Email: [luna.garcia@email.com](mailto:luna.garcia@email.com)",Car,No
S004,Zain,Hussain,Male,13,2009-06-10,7th Grade,Middle-income,Pakistani,Urdu,Bachelor's degree,No,"3456 Lahore, Pakistan","Phone: 92-1234-5678, Email: [zain.hussain@email.com](mailto:zain.hussain@email.com)",Walk,No
S005,Nalani,Ratnam,Female,12,2009-12-25,6th Grade,High-income,Sri Lankan,Sinhala,Master's degree,ADHD,"7890 Colombo, Sri Lanka","Phone: 94-1234-5678, Email: [nalani.ratnam@email.com](mailto:nalani.ratnam@email.com)",Car,No
S006,Yara,Saeed,Female,11,2011-09-02,5th Grade,Low-income,Yemeni,Arabic,High school diploma,No,"3456 Sana'a, Yemen","Phone: 967-1234-5678, Email: [yara.saeed@email.com](mailto:yara.saeed@email.com)",Bus,Yes
S007,Cai,Wang,Male,14,2008-03-15,8th Grade,Middle-income,Chinese,Mandarin,Bachelor's degree,Dyscalculia,"2345 Beijing, China","Phone: 86-1234-5678, Email: [cai.wang@email.com](mailto:cai.wang@email.com)",Walk,No
S008,Leila,Musa,Female,13,2009-04-22,7th Grade,High-income,Somali,Somali,Master's degree,No,"6789 Mogadishu, Somalia","Phone: 252-1234-5678, Email: [leila.musa@email.com](mailto:leila.musa@email.com)",Car,No
S009,Sora,Kim,Female,12,2009-11-05,6th Grade,Middle-income,Korean,Korean,Bachelor's degree,Vision impairment,"1234 Seoul, South Korea","Phone: 82-1234-5678, Email: [sora.kim@email.com](mailto:sora.kim@email.com)",Walk,No
